guest_id,loyalty_status,prior_stays,stay_nights,occupancy_rate,checkin_hour,special_event,direct_booking,booked_room,total_spend_eur,upgrade
G0417,Silver,4,4,58.1,21,No,No,Deluxe,882.5,0
G0418,Gold,3,3,73.6,16,No,Yes,Standard,324.5,0
G0419,None,0,6,77.9,13,No,No,Standard,498.9,0
G0420,None,1,4,95.9,17,Yes,No,Deluxe,634.1,0
G0421,Gold,4,2,77.5,15,No,Yes,Standard,174.8,0
G0422,Silver,4,3,90.5,13,No,No,Standard,222.4,0
G0423,Platinum,10,3,79.7,20,No,Yes,Deluxe,578.1,1
G0424,Silver,3,2,100.0,17,No,Yes,Standard,245.7,0
G0425,None,1,3,87.7,21,Yes,No,Deluxe,376.3,0
G0426,Gold,4,2,87.9,18,No,No,Deluxe,315.7,1
G0427,None,1,4,89.1,15,No,Yes,Standard,541.4,0
G0428,None,3,5,92.4,13,No,Yes,Standard,853.2,1
G0429,None,1,6,48.4,15,No,No,Standard,663.2,0
G0430,None,1,1,87.4,20,No,No,Standard,90.7,1
G0431,Silver,3,1,70.9,12,No,No,Deluxe,248.0,0
G0432,Gold,3,1,72.2,13,No,Yes,Standard,386.1,0
G0433,Silver,3,3,55.1,14,No,No,Standard,412.4,0
G0434,None,1,3,87.5,13,No,No,Standard,173.8,0
G0435,Silver,1,4,64.8,16,No,No,Deluxe,487.9,0
G0436,None,0,6,77.9,14,Yes,No,Standard,783.0,0
G0437,None,0,3,87.6,23,No,Yes,Standard,210.6,1
G0438,Gold,1,3,73.0,18,No,Yes,Standard,481.5,1
G0439,None,0,2,93.2,22,No,No,Standard,60.0,0
G0440,Platinum,6,2,70.8,17,No,Yes,Standard,585.3,1
G0441,None,1,4,70.5,17,No,Yes,Standard,574.7,0
G0442,Gold,5,4,85.3,14,No,No,Standard,573.2,1
G0443,None,0,3,78.9,18,Yes,Yes,Standard,320.0,0
G0444,None,1,6,66.8,16,No,Yes,Deluxe,800.9,0
G0445,None,0,5,75.9,18,No,No,Standard,617.8,0
G0446,None,0,6,77.0,22,No,No,Standard,788.8,0
G0447,Silver,0,3,88.0,18,No,Yes,Deluxe,411.9,0
G0448,None,1,1,82.1,18,No,Yes,Deluxe,387.6,0
G0449,None,1,2,100.0,19,No,No,Deluxe,158.9,0
G0450,Silver,0,2,100.0,20,No,Yes,Deluxe,504.8,0
G0451,None,0,3,59.1,21,Yes,No,Standard,374.8,0
G0452,Silver,5,5,66.8,17,No,No,Deluxe,746.0,1
G0453,None,1,3,63.4,19,No,Yes,Deluxe,656.4,0
G0454,None,0,4,89.2,19,Yes,Yes,Standard,541.4,0
G0455,Platinum,12,2,77.4,20,No,No,Standard,632.3,1
G0456,Gold,3,3,97.1,17,No,Yes,Standard,382.6,0
G0457,Silver,1,3,81.2,19,No,No,Standard,398.6,1
G0458,None,1,4,76.7,23,No,Yes,Standard,483.5,0
G0459,Silver,0,3,86.9,17,No,Yes,Standard,391.8,0
G0460,Platinum,10,4,65.0,15,No,Yes,Deluxe,1094.2,1
G0461,Gold,5,3,73.2,16,Yes,No,Standard,536.9,0
G0462,None,1,1,65.8,19,No,Yes,Standard,60.0,0
G0463,Gold,3,2,42.0,20,No,Yes,Deluxe,410.7,1
G0464,None,1,4,95.3,13,No,Yes,Deluxe,773.7,0
G0465,Silver,3,1,67.3,15,No,Yes,Standard,484.8,1
G0466,None,1,1,63.1,22,No,Yes,Standard,337.5,0
G0467,None,0,3,69.1,13,Yes,No,Deluxe,553.8,0
G0468,None,0,3,76.8,19,No,No,Standard,486.0,1
G0469,None,1,2,73.5,11,No,Yes,Deluxe,424.0,0
G0470,Silver,3,4,92.9,22,No,Yes,Standard,550.7,0
G0471,Gold,4,1,100.0,13,No,Yes,Standard,79.2,0
G0472,None,0,4,97.0,22,No,Yes,Deluxe,694.7,0
G0473,None,2,6,75.0,23,No,Yes,Standard,813.7,0
G0474,Silver,1,3,75.6,15,No,No,Standard,339.9,1
G0475,Gold,3,3,77.9,13,No,Yes,Standard,268.1,0
G0476,Gold,5,3,72.9,19,No,Yes,Deluxe,818.3,1
G0477,None,1,4,75.3,20,No,No,Standard,630.6,0
G0478,Gold,5,5,92.4,19,No,Yes,Standard,737.0,0
G0479,None,1,2,45.5,20,No,Yes,Standard,219.7,0
G0480,None,0,3,89.8,18,Yes,Yes,Standard,337.5,0
G0481,Silver,2,1,63.6,20,No,No,Deluxe,366.0,0
G0482,Platinum,13,3,88.3,19,No,Yes,Deluxe,909.7,1
G0483,Platinum,9,4,94.8,18,No,Yes,Deluxe,962.6,0
G0484,None,1,2,100.0,23,Yes,No,Standard,315.9,0
G0485,Silver,5,3,76.6,21,No,No,Deluxe,843.7,0
G0486,Silver,2,6,87.8,11,No,Yes,Deluxe,1009.5,0
G0487,None,1,4,91.8,10,No,Yes,Standard,472.2,0
G0488,Platinum,7,2,58.4,19,Yes,No,Deluxe,548.3,1
G0489,None,0,4,82.7,18,No,Yes,Standard,570.8,1
G0490,None,1,2,60.5,16,No,No,Standard,136.3,0
G0491,None,1,2,89.4,16,Yes,No,Standard,202.2,0
G0492,Gold,4,2,100.0,14,No,No,Deluxe,391.1,0
G0493,Gold,4,2,83.1,18,No,Yes,Standard,325.0,0
G0494,None,1,3,83.8,16,Yes,No,Deluxe,351.0,0
G0495,Gold,2,5,100.0,21,No,Yes,Standard,690.5,0
G0496,None,0,4,82.2,18,No,Yes,Deluxe,698.1,0
G0497,None,0,3,93.1,14,No,Yes,Standard,420.5,0
G0498,None,0,3,62.4,19,No,Yes,Deluxe,408.0,0
G0499,None,1,3,65.3,18,Yes,Yes,Deluxe,501.9,0
G0500,None,0,3,92.6,22,No,Yes,Standard,337.5,0
G0501,Platinum,4,2,60.3,18,No,Yes,Standard,165.2,1
G0502,None,2,4,85.7,15,No,Yes,Deluxe,719.9,0
G0503,None,0,5,64.8,23,No,No,Deluxe,760.1,1
G0504,None,2,4,84.8,18,No,Yes,Deluxe,631.9,0
G0505,Gold,6,3,82.9,20,No,No,Standard,732.0,1
G0506,None,1,2,83.4,16,No,Yes,Standard,322.7,0
G0507,None,2,3,61.8,10,No,Yes,Standard,609.8,0
G0508,None,0,3,87.8,14,No,No,Deluxe,521.7,0
G0509,None,1,3,96.8,18,Yes,Yes,Standard,424.7,0
G0510,None,0,3,76.1,18,No,Yes,Standard,181.8,0
G0511,None,1,5,75.4,18,No,Yes,Standard,548.3,1
G0512,Platinum,11,2,66.1,18,No,Yes,Standard,617.6,1
G0513,Silver,3,3,90.3,17,No,No,Deluxe,449.8,0
G0514,None,0,4,73.2,19,Yes,No,Standard,404.0,0
G0515,None,0,4,74.7,14,No,Yes,Standard,264.0,0
G0516,None,1,2,79.5,16,No,No,Standard,60.0,0
G0517,Gold,4,4,75.6,10,No,No,Standard,629.0,0
G0518,Platinum,8,1,49.9,18,No,Yes,Deluxe,710.8,1
G0519,Gold,4,3,84.5,17,No,No,Standard,476.8,0
G0520,Platinum,10,2,61.3,16,No,Yes,Standard,535.3,1
G0521,None,2,2,99.7,23,No,Yes,Standard,262.4,0
G0522,None,0,2,88.8,20,No,Yes,Standard,109.9,0
G0523,None,0,6,68.2,18,No,Yes,Standard,650.3,0
G0524,Silver,2,2,69.4,13,No,No,Deluxe,357.0,1
G0525,None,1,3,77.2,14,No,Yes,Deluxe,542.8,0
G0526,Silver,5,3,77.6,17,No,Yes,Standard,487.5,0
G0527,None,2,1,100.0,16,No,Yes,Standard,86.9,0
G0528,None,0,5,92.7,16,No,Yes,Deluxe,712.9,1
G0529,Gold,5,3,45.7,17,No,Yes,Standard,803.2,1
G0530,None,4,2,69.2,12,No,Yes,Standard,385.6,1
G0531,None,2,2,100.0,20,No,No,Standard,445.3,1
G0532,None,0,3,85.7,20,No,Yes,Standard,385.7,0
G0533,Silver,4,2,75.6,23,No,Yes,Standard,412.3,1
G0534,None,1,4,82.7,17,No,Yes,Standard,287.3,0
G0535,Silver,2,3,87.0,14,Yes,Yes,Standard,338.4,0
G0536,None,2,4,66.8,15,No,Yes,Deluxe,654.5,0
G0537,Silver,3,3,71.1,15,No,Yes,Deluxe,664.7,0
G0538,None,2,4,81.9,14,No,Yes,Deluxe,653.4,0
G0539,Silver,1,3,63.2,22,Yes,Yes,Standard,311.1,0
G0540,Silver,4,2,68.8,17,No,Yes,Deluxe,678.5,1
G0541,Silver,2,3,85.2,21,No,No,Standard,477.0,0
G0542,Silver,0,5,65.3,14,No,Yes,Standard,412.9,1
G0543,None,0,3,89.8,17,No,Yes,Deluxe,423.0,0
G0544,None,0,4,49.9,11,No,No,Standard,456.8,0
G0545,None,1,1,87.9,11,Yes,Yes,Standard,60.0,0
G0546,Silver,0,4,85.1,17,No,Yes,Standard,303.5,0
G0547,Platinum,7,5,68.6,17,No,Yes,Standard,854.2,1
G0548,None,0,2,83.1,19,No,No,Standard,113.1,0
G0549,None,1,5,75.3,20,No,Yes,Standard,472.8,0
G0550,None,0,3,68.7,17,Yes,Yes,Standard,452.7,0
G0551,Silver,4,1,87.8,13,No,Yes,Deluxe,281.1,0
G0552,None,0,1,79.5,17,No,Yes,Standard,231.1,0
G0553,None,2,1,69.4,21,No,Yes,Standard,60.0,0
G0554,None,1,3,81.2,17,No,No,Standard,288.1,0
G0555,None,1,4,81.0,13,No,Yes,Standard,448.8,0
G0556,None,1,5,87.6,23,No,Yes,Standard,610.7,0
G0557,Silver,2,3,100.0,17,Yes,No,Standard,224.3,0
G0558,Gold,8,3,79.1,16,No,Yes,Deluxe,847.5,1
G0559,None,1,4,100.0,16,No,No,Standard,546.2,0
G0560,None,2,5,72.7,21,Yes,Yes,Standard,696.1,0
G0561,None,0,3,61.9,21,No,No,Standard,200.4,0
G0562,Gold,3,2,74.4,17,No,Yes,Standard,397.3,0
G0563,None,2,3,63.8,14,Yes,No,Deluxe,490.9,0
G0564,Platinum,5,3,91.7,16,No,Yes,Standard,390.6,1
G0565,None,1,3,46.2,18,Yes,No,Standard,355.9,0
G0566,None,1,5,98.5,23,No,Yes,Deluxe,574.8,0
G0567,None,1,6,68.3,14,No,No,Deluxe,733.2,0
G0568,None,1,3,59.0,17,No,Yes,Standard,359.5,0
G0569,Silver,0,1,86.6,15,No,No,Standard,309.2,0
G0570,Silver,2,3,68.8,16,Yes,Yes,Standard,593.8,0
G0571,None,1,2,60.3,23,No,No,Standard,207.1,0
G0572,Silver,2,1,79.7,19,No,No,Standard,505.0,0
G0573,Platinum,9,5,77.9,16,No,Yes,Standard,1040.5,1
G0574,Platinum,7,4,54.4,22,No,Yes,Deluxe,799.5,1
G0575,Silver,1,3,74.3,17,No,Yes,Standard,517.4,0
G0576,Silver,2,2,75.9,22,No,Yes,Standard,255.6,0
G0577,None,1,3,91.3,13,No,Yes,Deluxe,679.1,1
G0578,Gold,4,2,74.2,20,No,Yes,Deluxe,308.3,0
G0579,None,0,5,85.2,15,No,Yes,Standard,607.9,0
G0580,Silver,3,4,72.9,19,No,No,Standard,348.8,0
G0581,Gold,3,2,66.2,18,No,Yes,Standard,515.8,1
G0582,Gold,8,3,75.8,20,No,No,Standard,837.8,0
G0583,Platinum,8,1,88.7,16,No,No,Standard,319.0,0
G0584,Gold,4,1,98.8,19,No,No,Deluxe,513.2,0
G0585,None,0,2,63.8,15,No,No,Standard,198.8,0
G0586,None,1,2,80.8,19,Yes,Yes,Standard,182.8,0
G0587,Silver,1,5,58.7,13,No,Yes,Deluxe,788.3,0
G0588,None,0,2,98.0,16,No,Yes,Standard,85.5,0
G0589,Silver,1,7,82.9,21,Yes,Yes,Deluxe,1006.3,0
G0590,None,1,3,64.8,16,Yes,Yes,Deluxe,515.9,1
G0591,Silver,0,5,77.5,11,No,Yes,Standard,453.2,0
G0592,Silver,0,3,75.7,14,No,Yes,Deluxe,402.1,0
G0593,Silver,2,2,62.9,17,No,Yes,Standard,454.7,0
G0594,None,0,1,80.0,16,No,No,Standard,67.4,0
G0595,Gold,3,2,66.2,11,No,Yes,Deluxe,381.7,0
G0596,Silver,4,5,97.4,16,Yes,Yes,Standard,838.0,0
G0597,Gold,3,3,70.5,17,No,No,Standard,471.4,0
G0598,Platinum,7,5,90.8,22,No,No,Standard,815.6,1
G0599,Silver,3,3,58.7,17,No,Yes,Deluxe,695.7,0
G0600,Gold,2,4,100.0,20,No,No,Standard,708.2,0
G0601,None,1,1,63.0,17,Yes,Yes,Standard,133.5,0
G0602,None,2,3,79.3,21,No,Yes,Standard,565.7,0
G0603,Gold,8,3,76.9,23,Yes,No,Standard,560.8,0
G0604,Platinum,9,2,79.0,15,No,Yes,Standard,516.7,1
G0605,None,0,5,87.6,17,No,Yes,Standard,336.1,0
G0606,None,0,4,74.4,20,No,Yes,Standard,418.8,0
G0607,None,1,3,62.4,17,No,Yes,Standard,562.2,0
G0608,Silver,1,4,99.0,19,No,Yes,Standard,455.9,0
G0609,Silver,2,4,75.9,20,Yes,No,Standard,404.8,0
G0610,Platinum,7,4,87.1,19,No,Yes,Standard,628.4,1
G0611,None,0,1,85.9,20,No,No,Standard,60.0,0
G0612,None,0,2,59.4,14,No,No,Standard,295.0,0
G0613,None,2,5,69.4,20,No,Yes,Standard,748.3,1
G0614,Silver,3,2,68.5,14,No,Yes,Standard,279.3,1
G0615,Silver,1,1,100.0,17,No,Yes,Standard,60.0,0
G0616,Gold,3,3,63.6,17,No,Yes,Standard,425.5,0
G0617,None,1,5,83.4,17,No,No,Deluxe,816.4,0
G0618,None,2,1,100.0,20,No,Yes,Deluxe,304.0,0
G0619,Silver,0,2,82.8,16,No,Yes,Standard,60.0,0
G0620,None,1,1,93.5,17,No,Yes,Standard,60.0,0
G0621,Platinum,7,2,67.6,13,No,No,Standard,459.2,1
G0622,None,0,3,65.5,17,No,Yes,Standard,183.0,0
G0623,Silver,1,4,75.3,15,No,No,Deluxe,658.2,0
G0624,None,0,4,89.2,15,No,Yes,Standard,660.0,0
G0625,Platinum,15,5,87.7,21,No,Yes,Standard,868.5,1
G0626,Silver,5,1,69.8,17,No,Yes,Standard,209.1,1
G0627,Platinum,8,6,79.7,21,No,No,Standard,1098.3,1
G0628,Gold,3,2,46.6,14,Yes,Yes,Standard,462.8,0
G0629,None,2,1,89.8,16,No,Yes,Deluxe,169.1,0
G0630,None,0,3,51.6,12,No,Yes,Deluxe,302.5,0
G0631,Silver,1,5,100.0,18,No,Yes,Standard,564.2,0
G0632,None,1,6,98.0,18,No,Yes,Deluxe,1070.3,0
G0633,Silver,4,1,62.3,21,No,Yes,Deluxe,531.3,0
G0634,Silver,3,7,84.1,16,No,Yes,Deluxe,914.1,0
G0635,None,1,3,86.2,12,Yes,Yes,Deluxe,426.8,0
G0636,Gold,6,3,45.8,19,No,Yes,Deluxe,691.7,1
G0637,Gold,7,3,74.7,16,No,Yes,Standard,797.4,0
G0638,None,0,5,78.3,22,No,No,Standard,388.8,0
G0639,None,1,2,86.0,20,No,Yes,Standard,203.0,0
G0640,Silver,3,6,58.2,19,No,Yes,Standard,815.8,0
G0641,Silver,4,4,73.1,23,No,No,Standard,569.9,0
G0642,None,1,4,68.2,14,No,Yes,Deluxe,588.7,0
G0643,Silver,4,2,99.8,20,No,Yes,Standard,198.2,0
G0644,Platinum,11,3,65.3,14,No,No,Standard,805.5,1
G0645,Gold,7,6,54.4,14,Yes,Yes,Standard,849.6,1
G0646,Gold,10,1,69.3,20,No,Yes,Standard,421.7,1
G0647,Gold,1,3,74.8,16,No,No,Deluxe,626.6,0
G0648,None,0,4,61.4,17,No,Yes,Deluxe,472.5,1
G0649,Silver,1,2,75.6,21,Yes,No,Standard,166.0,0
G0650,Silver,1,1,53.6,15,No,No,Standard,283.9,0
G0651,Platinum,10,1,84.3,19,No,Yes,Standard,468.4,1
G0652,None,1,2,81.4,18,No,No,Deluxe,245.7,0
G0653,None,2,3,92.4,13,No,Yes,Standard,450.7,0
G0654,Gold,3,3,67.0,20,No,Yes,Deluxe,354.2,0
G0655,Platinum,7,4,92.8,20,Yes,Yes,Standard,582.8,1
G0656,Silver,1,2,83.5,22,No,No,Standard,141.7,0
G0657,Gold,4,3,67.4,18,No,No,Deluxe,537.6,0
G0658,None,1,2,76.1,17,No,Yes,Standard,304.8,0
G0659,None,1,3,77.8,13,No,Yes,Standard,534.9,0
G0660,Platinum,10,4,75.9,17,No,No,Standard,761.2,0
G0661,Silver,6,2,91.0,16,Yes,Yes,Standard,460.0,1
G0662,Platinum,11,3,95.5,18,Yes,No,Standard,558.0,1
G0663,None,0,3,67.2,17,No,No,Standard,455.3,0
G0664,None,0,2,64.6,20,Yes,No,Standard,262.4,0
G0665,None,1,3,72.1,15,No,Yes,Deluxe,568.9,1
G0666,Silver,3,8,69.4,21,No,Yes,Deluxe,1280.6,0
G0667,Silver,4,3,94.4,11,Yes,Yes,Standard,437.9,0
G0668,None,0,6,77.8,20,No,No,Standard,538.6,0
G0669,None,0,3,58.6,16,No,No,Deluxe,536.3,1
G0670,Platinum,5,3,90.3,15,Yes,Yes,Standard,491.5,0
G0671,Silver,1,4,93.9,15,No,Yes,Standard,469.9,0
G0672,None,2,4,70.6,18,No,No,Standard,519.5,0
G0673,Gold,7,4,94.0,15,Yes,No,Deluxe,937.9,0
G0674,Silver,1,2,94.0,19,Yes,Yes,Deluxe,262.9,0
G0675,None,0,2,69.5,15,No,No,Deluxe,526.5,0
G0676,None,0,3,62.5,18,No,Yes,Standard,178.8,0
G0677,None,0,1,100.0,17,No,Yes,Deluxe,106.9,0
G0678,None,0,1,89.2,16,Yes,No,Standard,64.2,0
G0679,None,1,4,64.8,21,No,Yes,Standard,331.6,0
G0680,Platinum,9,2,74.3,12,No,Yes,Standard,465.2,1
G0681,Silver,1,2,71.6,23,Yes,Yes,Standard,115.1,0
G0682,None,2,3,96.9,16,Yes,No,Standard,460.8,0
G0683,Gold,2,6,82.9,19,No,Yes,Standard,780.7,0
G0684,None,0,3,72.8,11,No,No,Standard,281.4,0
G0685,Silver,3,3,81.3,18,No,Yes,Deluxe,321.2,1
G0686,Silver,4,5,77.4,16,Yes,Yes,Deluxe,644.6,0
G0687,Silver,1,2,74.6,17,No,Yes,Deluxe,567.6,1
G0688,Platinum,9,3,78.3,20,No,No,Standard,521.8,0
G0689,Silver,0,2,57.2,19,No,Yes,Standard,194.8,0
G0690,Gold,4,3,77.4,15,Yes,No,Standard,272.8,0
G0691,None,0,5,73.8,15,No,Yes,Standard,438.8,0
G0692,Silver,2,5,59.4,18,No,Yes,Standard,579.7,0
G0693,Silver,3,4,87.1,16,No,No,Standard,635.4,0
G0694,None,2,3,70.2,18,Yes,Yes,Standard,483.4,0
G0695,Gold,3,1,55.4,14,No,Yes,Standard,428.5,0
G0696,Silver,2,5,74.3,16,No,Yes,Deluxe,695.0,0
G0697,None,1,3,88.3,12,No,No,Deluxe,458.2,0
G0698,Silver,3,2,53.4,15,Yes,No,Deluxe,357.5,1
G0699,None,0,4,97.5,18,No,Yes,Deluxe,427.7,0
G0700,Gold,6,4,90.8,21,Yes,Yes,Deluxe,738.9,1
G0701,Gold,8,4,100.0,17,No,Yes,Standard,689.4,1
G0702,Gold,6,2,97.7,16,No,Yes,Standard,418.7,0
G0703,None,0,3,74.0,18,No,Yes,Standard,296.5,0
G0704,None,1,4,77.5,14,Yes,No,Standard,377.1,0
G0705,None,0,5,76.8,18,No,Yes,Standard,488.0,0
G0706,Silver,2,5,74.9,12,No,Yes,Standard,677.9,0
G0707,None,0,4,71.2,16,No,No,Standard,471.4,0
G0708,Platinum,10,2,87.0,18,No,No,Standard,551.3,1
G0709,Silver,0,4,77.8,19,No,Yes,Standard,578.1,0
G0710,None,2,3,68.7,21,No,Yes,Standard,229.3,0
G0711,None,2,3,70.8,20,Yes,No,Standard,274.0,0
G0712,Gold,2,3,83.4,17,No,Yes,Standard,414.9,0
G0713,Silver,3,7,66.8,18,No,Yes,Deluxe,1123.9,1
G0714,None,1,6,58.3,17,No,No,Standard,622.1,0
G0715,None,0,4,71.5,16,No,No,Standard,259.9,0
G0716,None,1,2,81.1,15,No,No,Deluxe,408.7,1
G0717,Silver,5,4,74.9,21,No,Yes,Standard,616.3,0
G0718,Silver,2,4,61.7,18,No,Yes,Deluxe,546.3,0
G0719,Gold,7,6,92.5,15,Yes,No,Standard,792.6,0
G0720,Gold,5,2,69.4,19,Yes,Yes,Standard,275.8,0
G0721,None,1,3,60.6,18,Yes,Yes,Standard,395.7,1
G0722,Gold,7,3,81.6,16,No,Yes,Standard,584.7,0
G0723,None,0,1,71.6,12,Yes,No,Standard,60.0,0
G0724,None,0,3,66.5,18,No,No,Standard,243.7,0
G0725,None,1,3,73.9,18,No,Yes,Deluxe,711.6,0
G0726,None,0,1,94.2,22,No,Yes,Deluxe,322.0,0
G0727,None,1,3,100.0,20,No,No,Deluxe,327.5,0
G0728,None,1,7,80.5,17,No,No,Standard,760.4,0
G0729,None,3,4,91.6,17,No,Yes,Standard,446.1,0
G0730,None,1,5,83.3,15,Yes,Yes,Standard,540.1,0
G0731,Gold,1,2,73.0,15,No,No,Deluxe,560.2,1
G0732,Silver,0,3,64.8,18,No,Yes,Standard,258.9,1
G0733,None,0,4,69.2,15,No,No,Deluxe,663.0,1
G0734,None,2,5,79.6,18,No,Yes,Deluxe,808.8,0
G0735,None,1,2,82.3,16,No,Yes,Deluxe,376.5,0
G0736,Silver,0,1,53.5,14,No,No,Standard,125.5,0
G0737,None,0,3,72.7,15,No,Yes,Standard,246.7,0
G0738,None,2,4,63.6,13,Yes,Yes,Standard,299.2,0
G0739,None,1,2,76.9,22,No,Yes,Deluxe,489.2,1
G0740,Platinum,5,2,84.3,18,Yes,No,Standard,407.4,1
G0741,None,1,2,66.0,22,No,Yes,Standard,210.8,0
G0742,None,0,3,99.9,15,No,No,Standard,324.8,0
G0743,Silver,1,4,89.3,15,No,No,Deluxe,630.1,0
G0744,Gold,5,4,95.9,21,No,Yes,Standard,467.5,0
G0745,Gold,8,1,77.4,17,No,No,Standard,512.6,1
G0746,None,1,3,78.4,15,No,Yes,Standard,513.4,1
G0747,Silver,2,2,55.7,19,Yes,Yes,Standard,203.9,0
G0748,None,0,2,56.2,15,No,Yes,Standard,206.7,0
G0749,None,0,5,85.0,17,No,No,Standard,465.6,0
G0750,None,0,3,62.7,11,No,Yes,Deluxe,425.1,0
G0751,None,2,2,69.3,21,No,No,Standard,99.4,1
G0752,Silver,1,3,79.0,21,No,Yes,Standard,490.4,1
G0753,Silver,3,3,49.4,15,No,No,Standard,743.2,1
G0754,None,2,2,61.8,17,No,Yes,Standard,321.3,1
G0755,None,0,2,99.2,11,No,Yes,Standard,60.0,0
G0756,None,2,3,94.7,19,No,Yes,Deluxe,454.0,0
G0757,None,0,3,85.3,13,No,No,Standard,137.0,0
G0758,None,0,5,64.7,16,No,Yes,Standard,618.7,0
G0759,Silver,0,1,90.0,14,No,Yes,Standard,173.0,0
G0760,Platinum,13,2,73.0,17,No,Yes,Standard,693.6,1
G0761,None,0,5,84.2,15,Yes,Yes,Standard,461.2,0
G0762,None,1,3,83.3,18,No,Yes,Standard,345.3,0
G0763,None,1,2,88.0,21,Yes,No,Standard,293.2,0
G0764,None,0,4,88.0,11,No,Yes,Standard,419.9,0
G0765,None,1,1,79.2,15,No,Yes,Deluxe,390.8,0
G0766,Silver,0,3,67.1,18,No,No,Deluxe,499.7,0
G0767,Silver,3,2,64.8,15,No,Yes,Deluxe,467.2,0
G0768,None,0,2,93.7,15,No,Yes,Deluxe,60.0,0
G0769,Platinum,9,2,73.9,23,No,Yes,Standard,342.3,0
G0770,Platinum,3,4,54.9,15,No,Yes,Deluxe,907.0,1
G0771,Gold,4,5,89.6,19,Yes,Yes,Standard,583.0,0
G0772,Gold,3,4,66.1,18,No,No,Standard,395.3,1
G0773,Gold,5,4,100.0,22,No,Yes,Deluxe,498.4,1
G0774,None,0,2,68.6,20,No,Yes,Standard,186.1,0
G0775,None,2,3,62.6,23,Yes,Yes,Standard,240.1,0
G0776,None,2,3,88.8,19,No,Yes,Standard,601.5,0
G0777,Gold,6,4,93.1,18,No,No,Deluxe,726.8,1
G0778,None,0,3,68.8,12,No,Yes,Deluxe,510.2,0
G0779,Platinum,4,2,85.0,14,No,No,Deluxe,537.2,0
G0780,Platinum,8,2,74.0,20,No,Yes,Deluxe,758.0,1
G0781,Silver,2,2,97.1,17,No,Yes,Deluxe,670.9,1
G0782,Silver,2,6,76.2,18,No,Yes,Standard,696.1,0
G0783,None,1,2,78.3,14,No,Yes,Standard,203.1,0
G0784,Platinum,8,5,72.9,16,No,Yes,Standard,580.6,1
G0785,Gold,8,2,61.1,16,No,Yes,Standard,284.4,0
G0786,Gold,2,4,82.5,18,No,Yes,Standard,559.4,1
G0787,None,0,5,58.7,17,No,No,Standard,346.8,0
G0788,None,0,3,59.0,16,No,Yes,Deluxe,407.5,0
G0789,Silver,0,3,84.0,17,No,Yes,Standard,87.0,0
G0790,Gold,4,3,82.3,16,No,No,Deluxe,460.2,0
G0791,Silver,3,2,76.9,18,No,Yes,Standard,347.9,1
G0792,None,0,3,63.1,19,No,No,Standard,346.9,0
G0793,None,1,3,84.0,11,No,No,Standard,316.7,0
G0794,Platinum,6,2,69.8,21,No,No,Standard,499.0,1
G0795,Gold,5,2,96.0,18,No,No,Standard,501.6,0
G0796,Gold,6,7,76.8,23,No,Yes,Deluxe,1043.3,0
G0797,None,0,1,93.0,17,No,Yes,Standard,304.7,0
G0798,Gold,3,2,74.9,13,No,Yes,Standard,371.2,0
G0799,Silver,4,3,65.4,17,No,No,Deluxe,697.1,0
G0800,None,0,2,76.3,17,Yes,No,Standard,92.7,0
G0801,None,2,1,60.6,19,No,Yes,Standard,190.3,1
G0802,Gold,11,3,70.8,14,No,Yes,Deluxe,728.1,1
G0803,None,1,2,52.0,18,No,Yes,Standard,314.8,0
G0804,None,2,3,84.8,19,No,Yes,Standard,484.2,0
G0805,None,0,3,82.6,16,No,No,Standard,141.7,0
G0806,Platinum,6,6,81.8,22,No,Yes,Deluxe,1153.7,1
G0807,None,1,3,62.7,12,No,Yes,Standard,603.6,1
G0808,None,1,1,73.2,17,No,Yes,Standard,99.5,0
G0809,None,2,3,87.9,21,No,Yes,Standard,463.0,0
G0810,None,1,4,89.6,14,Yes,Yes,Deluxe,673.1,0
G0811,Gold,1,2,73.4,15,Yes,Yes,Standard,381.9,0
G0812,None,1,2,59.1,16,Yes,No,Standard,60.0,0
G0813,None,1,1,62.0,20,No,No,Standard,264.3,0
G0814,None,1,2,79.0,18,Yes,Yes,Standard,249.8,0
G0815,None,0,6,61.1,14,No,No,Standard,690.0,0
G0816,None,0,2,74.7,16,No,No,Standard,117.4,0
G0817,None,0,2,74.6,21,Yes,No,Standard,60.0,0
G0818,Platinum,8,3,59.7,12,No,No,Deluxe,673.5,1
G0819,Silver,1,2,93.4,21,Yes,No,Deluxe,275.9,0
G0820,None,2,2,76.9,17,No,Yes,Standard,189.4,0
G0821,Platinum,5,5,79.7,16,Yes,Yes,Deluxe,1032.8,1
G0822,Silver,0,2,72.0,15,Yes,No,Deluxe,244.5,0
G0823,Silver,4,3,58.6,19,No,Yes,Deluxe,682.8,1
G0824,None,0,2,87.2,13,No,Yes,Standard,60.0,0
G0825,None,1,4,100.0,18,No,Yes,Deluxe,475.0,1
G0826,Platinum,9,3,85.2,17,No,No,Deluxe,716.7,1
G0827,None,3,3,75.6,16,No,Yes,Deluxe,604.9,0
G0828,None,0,3,56.0,19,No,Yes,Standard,167.3,1
G0829,None,0,3,57.6,12,No,Yes,Standard,243.2,0
G0830,Silver,0,6,61.9,16,No,Yes,Deluxe,746.4,1
G0831,None,1,3,79.3,19,No,Yes,Standard,198.7,0
G0832,Gold,6,2,70.9,18,No,Yes,Deluxe,754.4,1
G0833,None,0,2,81.5,19,No,No,Standard,98.9,0
